,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
169,2018-04-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,34,1,Good
170,2018-04-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,18,1,Good
171,2018-02-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,37,1,Good
172,2018-02-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate
173,2018-02-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,8,1,Good
174,2019-12-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
175,2019-12-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good
176,2019-12-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,14,1,Good
177,2019-10-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,26,1,Good
178,2019-10-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,20,1,Good
179,2019-10-29 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,6,1,Good
180,2018-06-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,45,1,Good
181,2018-06-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good
182,2018-02-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,30,1,Good
183,2018-02-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,61,2,Moderate
184,2018-02-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,20,1,Good
185,2018-07-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,48,1,Good
186,2018-07-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good
187,2018-03-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,42,1,Good
188,2018-03-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good
189,2019-11-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
190,2019-11-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good
191,2019-11-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,12,1,Good
192,2018-08-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,101,3,Unhealthy for Sensitive Groups
193,2018-08-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,77,2,Moderate
194,2019-12-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,30,1,Good
195,2019-12-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good
196,2019-12-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,10,1,Good
197,2018-12-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,22,1,Good
198,2018-12-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate
199,2018-12-26 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,13,1,Good
200,2018-08-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,27,1,Good
201,2018-08-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good
202,2018-04-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,41,1,Good
203,2018-04-08 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good
204,2018-06-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,44,1,Good
205,2018-06-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,64,2,Moderate
206,2019-09-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,36,1,Good
207,2019-09-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,11,1,Good
208,2019-09-17 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,10,1,Good
209,2019-11-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,24,1,Good
210,2019-11-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good
211,2019-11-14 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
212,2018-03-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,38,1,Good
213,2018-03-20 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good
214,2018-10-07 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good
215,2019-01-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
216,2019-01-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good
217,2019-01-31 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,31,1,Good
218,2018-08-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,23,1,Good
219,2018-08-19 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,33,1,Good
220,2018-06-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,30,1,Good
221,2018-06-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
222,2019-09-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,29,1,Good
223,2019-09-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,18,1,Good
224,2019-09-18 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
225,2018-07-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,30,1,Good
226,2018-07-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,17,1,Good
227,2018-12-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,23,1,Good
228,2018-12-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,65,2,Moderate
229,2018-12-12 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,24,1,Good
230,2018-08-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,41,1,Good
231,2018-08-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate
232,2018-11-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,31,1,Good
233,2018-11-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,44,1,Good
234,2018-11-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,16,1,Good
