,date,time,aqsid,site,gmtoffset,parameter,units,value,source
18579285,12/03/19,17:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,7.8,New York Dept. of Environmental Conservation
18579286,12/03/19,17:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,4.2,New York Dept. of Environmental Conservation
18594115,10/28/19,08:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
18594116,10/28/19,08:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,5.0,New York Dept. of Environmental Conservation
18594117,10/28/19,08:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
18594136,10/28/19,08:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
18594137,10/28/19,08:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
18594141,10/28/19,08:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
18594142,10/28/19,08:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
18594143,10/28/19,08:00,360610135,CCNY,-5.0,OZONE,PPB,18.0,New York Dept. of Environmental Conservation
18594144,10/28/19,08:00,360610135,CCNY,-5.0,PM2.5,UG/M3,1.9,New York Dept. of Environmental Conservation
18594151,10/28/19,08:00,360810124,Queens,-5.0,OZONE,PPB,13.0,New York Dept. of Environmental Conservation
18594152,10/28/19,08:00,360810124,Queens,-5.0,PM2.5,UG/M3,0.8,New York Dept. of Environmental Conservation
18594153,10/28/19,08:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,5.2,New York Dept. of Environmental Conservation
18594154,10/28/19,08:00,360850111,Fresh Kills,-5.0,OZONE,PPB,11.0,New York Dept. of Environmental Conservation
18594155,10/28/19,08:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
18608962,12/03/19,03:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,26.0,New York Dept. of Environmental Conservation
18608963,12/03/19,03:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,6.0,New York Dept. of Environmental Conservation
18608964,12/03/19,03:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,3.5,New York Dept. of Environmental Conservation
18608965,12/03/19,03:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,30.0,New York Dept. of Environmental Conservation
18608986,12/03/19,03:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.5,New York Dept. of Environmental Conservation
18608987,12/03/19,03:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
18608991,12/03/19,03:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.0,New York Dept. of Environmental Conservation
18608992,12/03/19,03:00,360610134,Division Street,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
18608993,12/03/19,03:00,360610135,CCNY,-5.0,OZONE,PPB,29.0,New York Dept. of Environmental Conservation
18608994,12/03/19,03:00,360610135,CCNY,-5.0,PM2.5,UG/M3,3.5,New York Dept. of Environmental Conservation
18609002,12/03/19,03:00,360810124,Queens,-5.0,OZONE,PPB,28.0,New York Dept. of Environmental Conservation
18609003,12/03/19,03:00,360810124,Queens,-5.0,PM2.5,UG/M3,2.7,New York Dept. of Environmental Conservation
18609004,12/03/19,03:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,4.6,New York Dept. of Environmental Conservation
18609005,12/03/19,03:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,3.8,New York Dept. of Environmental Conservation
18623998,11/11/19,21:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,14.0,New York Dept. of Environmental Conservation
18623999,11/11/19,21:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,43.0,New York Dept. of Environmental Conservation
18624000,11/11/19,21:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,13.4,New York Dept. of Environmental Conservation
18624001,11/11/19,21:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,7.0,New York Dept. of Environmental Conservation
18624023,11/11/19,21:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,36.4,New York Dept. of Environmental Conservation
18624024,11/11/19,21:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,15.2,New York Dept. of Environmental Conservation
18624028,11/11/19,21:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,14.9,New York Dept. of Environmental Conservation
18624029,11/11/19,21:00,360610134,Division Street,-5.0,PM2.5,UG/M3,18.5,New York Dept. of Environmental Conservation
18624030,11/11/19,21:00,360610135,CCNY,-5.0,OZONE,PPB,15.0,New York Dept. of Environmental Conservation
18624031,11/11/19,21:00,360610135,CCNY,-5.0,PM2.5,UG/M3,15.4,New York Dept. of Environmental Conservation
18624040,11/11/19,21:00,360810124,Queens,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
18624041,11/11/19,21:00,360810124,Queens,-5.0,PM2.5,UG/M3,18.3,New York Dept. of Environmental Conservation
18624042,11/11/19,21:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,11.2,New York Dept. of Environmental Conservation
18639014,10/26/19,13:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
18639015,10/26/19,13:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,14.0,New York Dept. of Environmental Conservation
18639016,10/26/19,13:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,5.5,New York Dept. of Environmental Conservation
18639017,10/26/19,13:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
18639035,10/26/19,13:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,5.6,New York Dept. of Environmental Conservation
18639036,10/26/19,13:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,6.5,New York Dept. of Environmental Conservation
18639040,10/26/19,13:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,5.9,New York Dept. of Environmental Conservation
18639041,10/26/19,13:00,360610134,Division Street,-5.0,PM2.5,UG/M3,5.9,New York Dept. of Environmental Conservation
18639042,10/26/19,13:00,360610135,CCNY,-5.0,PM2.5,UG/M3,0.6,New York Dept. of Environmental Conservation
18639051,10/26/19,13:00,360810124,Queens,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
18639052,10/26/19,13:00,360810124,Queens,-5.0,PM2.5,UG/M3,6.7,New York Dept. of Environmental Conservation
18639053,10/26/19,13:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,7.7,New York Dept. of Environmental Conservation
18639054,10/26/19,13:00,360850111,Fresh Kills,-5.0,OZONE,PPB,13.0,New York Dept. of Environmental Conservation
18653878,11/24/19,00:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,8.0,New York Dept. of Environmental Conservation
18653879,11/24/19,00:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,15.0,New York Dept. of Environmental Conservation
18653880,11/24/19,00:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.3,New York Dept. of Environmental Conservation
18653881,11/24/19,00:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,8.0,New York Dept. of Environmental Conservation
18653902,11/24/19,00:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
18653903,11/24/19,00:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,4.1,New York Dept. of Environmental Conservation
18653907,11/24/19,00:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,6.2,New York Dept. of Environmental Conservation
18653908,11/24/19,00:00,360610134,Division Street,-5.0,PM2.5,UG/M3,7.0,New York Dept. of Environmental Conservation
18653909,11/24/19,00:00,360610135,CCNY,-5.0,OZONE,PPB,6.0,New York Dept. of Environmental Conservation
18653910,11/24/19,00:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.3,New York Dept. of Environmental Conservation
18653919,11/24/19,00:00,360810124,Queens,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
18653920,11/24/19,00:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.1,New York Dept. of Environmental Conservation
18653921,11/24/19,00:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,4.8,New York Dept. of Environmental Conservation
18653922,11/24/19,00:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
18668865,11/02/19,17:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
18668866,11/02/19,17:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,13.0,New York Dept. of Environmental Conservation
18668867,11/02/19,17:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.5,New York Dept. of Environmental Conservation
18668868,11/02/19,17:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
18668889,11/02/19,17:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.0,New York Dept. of Environmental Conservation
18668890,11/02/19,17:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,2.6,New York Dept. of Environmental Conservation
18668894,11/02/19,17:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,1.2,New York Dept. of Environmental Conservation
18668895,11/02/19,17:00,360610134,Division Street,-5.0,PM2.5,UG/M3,5.6,New York Dept. of Environmental Conservation
18668896,11/02/19,17:00,360610135,CCNY,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
18668897,11/02/19,17:00,360610135,CCNY,-5.0,PM2.5,UG/M3,2.3,New York Dept. of Environmental Conservation
18668905,11/02/19,17:00,360810124,Queens,-5.0,OZONE,PPB,29.0,New York Dept. of Environmental Conservation
18668906,11/02/19,17:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.6,New York Dept. of Environmental Conservation
18668907,11/02/19,17:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,1.2,New York Dept. of Environmental Conservation
18668908,11/02/19,17:00,360850111,Fresh Kills,-5.0,OZONE,PPB,29.0,New York Dept. of Environmental Conservation
18683536,11/11/19,09:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,0.0,New York Dept. of Environmental Conservation
18683537,11/11/19,09:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,27.0,New York Dept. of Environmental Conservation
18683538,11/11/19,09:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,16.6,New York Dept. of Environmental Conservation
18683539,11/11/19,09:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,1.0,New York Dept. of Environmental Conservation
18683561,11/11/19,09:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,14.3,New York Dept. of Environmental Conservation
18683562,11/11/19,09:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,15.0,New York Dept. of Environmental Conservation
18683566,11/11/19,09:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,15.3,New York Dept. of Environmental Conservation
18683567,11/11/19,09:00,360610134,Division Street,-5.0,PM2.5,UG/M3,15.5,New York Dept. of Environmental Conservation
18683568,11/11/19,09:00,360610135,CCNY,-5.0,OZONE,PPB,0.0,New York Dept. of Environmental Conservation
18683569,11/11/19,09:00,360610135,CCNY,-5.0,PM2.5,UG/M3,16.2,New York Dept. of Environmental Conservation
18683578,11/11/19,09:00,360810124,Queens,-5.0,OZONE,PPB,2.0,New York Dept. of Environmental Conservation
18683579,11/11/19,09:00,360810124,Queens,-5.0,PM2.5,UG/M3,14.1,New York Dept. of Environmental Conservation
18683580,11/11/19,09:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,16.7,New York Dept. of Environmental Conservation
18698539,11/02/19,03:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
18698540,11/02/19,03:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,8.0,New York Dept. of Environmental Conservation
18698541,11/02/19,03:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,4.5,New York Dept. of Environmental Conservation
18698542,11/02/19,03:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
18698561,11/02/19,03:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
18698562,11/02/19,03:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
18698566,11/02/19,03:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
18698567,11/02/19,03:00,360610134,Division Street,-5.0,PM2.5,UG/M3,3.5,New York Dept. of Environmental Conservation
18698568,11/02/19,03:00,360610135,CCNY,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
18698569,11/02/19,03:00,360610135,CCNY,-5.0,PM2.5,UG/M3,2.8,New York Dept. of Environmental Conservation
18698577,11/02/19,03:00,360810124,Queens,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
18698578,11/02/19,03:00,360810124,Queens,-5.0,PM2.5,UG/M3,0.6,New York Dept. of Environmental Conservation
18698579,11/02/19,03:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,4.3,New York Dept. of Environmental Conservation
18698580,11/02/19,03:00,360850111,Fresh Kills,-5.0,OZONE,PPB,15.0,New York Dept. of Environmental Conservation
18698581,11/02/19,03:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,3.4,New York Dept. of Environmental Conservation
18713730,10/26/19,07:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
18713731,10/26/19,07:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,18.0,New York Dept. of Environmental Conservation
18713732,10/26/19,07:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,8.2,New York Dept. of Environmental Conservation
18713733,10/26/19,07:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,17.0,New York Dept. of Environmental Conservation
18713754,10/26/19,07:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,11.5,New York Dept. of Environmental Conservation
18713755,10/26/19,07:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,7.8,New York Dept. of Environmental Conservation
18713759,10/26/19,07:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,9.2,New York Dept. of Environmental Conservation
18713760,10/26/19,07:00,360610134,Division Street,-5.0,PM2.5,UG/M3,7.4,New York Dept. of Environmental Conservation
18713761,10/26/19,07:00,360610135,CCNY,-5.0,OZONE,PPB,18.0,New York Dept. of Environmental Conservation
18713762,10/26/19,07:00,360610135,CCNY,-5.0,PM2.5,UG/M3,9.9,New York Dept. of Environmental Conservation
18713771,10/26/19,07:00,360810124,Queens,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
18713772,10/26/19,07:00,360810124,Queens,-5.0,PM2.5,UG/M3,8.3,New York Dept. of Environmental Conservation
18713773,10/26/19,07:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,9.1,New York Dept. of Environmental Conservation
18713774,10/26/19,07:00,360850111,Fresh Kills,-5.0,OZONE,PPB,11.0,New York Dept. of Environmental Conservation
18713775,10/26/19,07:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,11.5,New York Dept. of Environmental Conservation
18728560,11/24/19,14:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
18728561,11/24/19,14:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,5.0,New York Dept. of Environmental Conservation
18728562,11/24/19,14:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,2.1,New York Dept. of Environmental Conservation
18728563,11/24/19,14:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
18728584,11/24/19,14:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,1.5,New York Dept. of Environmental Conservation
18728585,11/24/19,14:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,2.1,New York Dept. of Environmental Conservation
18728589,11/24/19,14:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,4.2,New York Dept. of Environmental Conservation
18728590,11/24/19,14:00,360610134,Division Street,-5.0,PM2.5,UG/M3,1.6,New York Dept. of Environmental Conservation
18728591,11/24/19,14:00,360610135,CCNY,-5.0,OZONE,PPB,15.0,New York Dept. of Environmental Conservation
18728592,11/24/19,14:00,360610135,CCNY,-5.0,PM2.5,UG/M3,2.7,New York Dept. of Environmental Conservation
18728601,11/24/19,14:00,360810124,Queens,-5.0,OZONE,PPB,25.0,New York Dept. of Environmental Conservation
18728602,11/24/19,14:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.6,New York Dept. of Environmental Conservation
18728603,11/24/19,14:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,2.8,New York Dept. of Environmental Conservation
18728604,11/24/19,14:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.7,New York Dept. of Environmental Conservation
18742727,11/24/19,15:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,14.0,New York Dept. of Environmental Conservation
18742728,11/24/19,15:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,5.0,New York Dept. of Environmental Conservation
18742729,11/24/19,15:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,1.5,New York Dept. of Environmental Conservation
18742730,11/24/19,15:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,17.0,New York Dept. of Environmental Conservation
18742751,11/24/19,15:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,0.8,New York Dept. of Environmental Conservation
18742752,11/24/19,15:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,2.2,New York Dept. of Environmental Conservation
18742756,11/24/19,15:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,1.9,New York Dept. of Environmental Conservation
18742757,11/24/19,15:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.2,New York Dept. of Environmental Conservation
18742758,11/24/19,15:00,360610135,CCNY,-5.0,OZONE,PPB,14.0,New York Dept. of Environmental Conservation
18742759,11/24/19,15:00,360610135,CCNY,-5.0,PM2.5,UG/M3,1.0,New York Dept. of Environmental Conservation
18742768,11/24/19,15:00,360810124,Queens,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
18742769,11/24/19,15:00,360810124,Queens,-5.0,PM2.5,UG/M3,0.1,New York Dept. of Environmental Conservation
18742770,11/24/19,15:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,2.1,New York Dept. of Environmental Conservation
18742771,11/24/19,15:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,0.9,New York Dept. of Environmental Conservation
18757853,10/26/19,06:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
18757854,10/26/19,06:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,17.0,New York Dept. of Environmental Conservation
18757855,10/26/19,06:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,8.7,New York Dept. of Environmental Conservation
18757856,10/26/19,06:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,18.0,New York Dept. of Environmental Conservation
18757878,10/26/19,06:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,11.7,New York Dept. of Environmental Conservation
18757879,10/26/19,06:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,10.2,New York Dept. of Environmental Conservation
18757883,10/26/19,06:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,9.1,New York Dept. of Environmental Conservation
18757884,10/26/19,06:00,360610134,Division Street,-5.0,PM2.5,UG/M3,9.3,New York Dept. of Environmental Conservation
18757885,10/26/19,06:00,360610135,CCNY,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
18757886,10/26/19,06:00,360610135,CCNY,-5.0,PM2.5,UG/M3,8.7,New York Dept. of Environmental Conservation
18757895,10/26/19,06:00,360810124,Queens,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
18757896,10/26/19,06:00,360810124,Queens,-5.0,PM2.5,UG/M3,9.1,New York Dept. of Environmental Conservation
18757897,10/26/19,06:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,9.7,New York Dept. of Environmental Conservation
18757898,10/26/19,06:00,360850111,Fresh Kills,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
18757899,10/26/19,06:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,10.6,New York Dept. of Environmental Conservation
18773074,11/02/19,02:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,21.0,New York Dept. of Environmental Conservation
18773075,11/02/19,02:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,8.0,New York Dept. of Environmental Conservation
18773076,11/02/19,02:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,3.7,New York Dept. of Environmental Conservation
18773077,11/02/19,02:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,22.0,New York Dept. of Environmental Conservation
18773096,11/02/19,02:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,3.1,New York Dept. of Environmental Conservation
18773097,11/02/19,02:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
18773101,11/02/19,02:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,2.2,New York Dept. of Environmental Conservation
18773102,11/02/19,02:00,360610134,Division Street,-5.0,PM2.5,UG/M3,4.4,New York Dept. of Environmental Conservation
18773103,11/02/19,02:00,360610135,CCNY,-5.0,OZONE,PPB,20.0,New York Dept. of Environmental Conservation
18773104,11/02/19,02:00,360610135,CCNY,-5.0,PM2.5,UG/M3,4.3,New York Dept. of Environmental Conservation
18773112,11/02/19,02:00,360810124,Queens,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
18773113,11/02/19,02:00,360810124,Queens,-5.0,PM2.5,UG/M3,1.7,New York Dept. of Environmental Conservation
18773114,11/02/19,02:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,6.0,New York Dept. of Environmental Conservation
18773115,11/02/19,02:00,360850111,Fresh Kills,-5.0,OZONE,PPB,16.0,New York Dept. of Environmental Conservation
18773116,11/02/19,02:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
18788126,11/11/19,08:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,0.0,New York Dept. of Environmental Conservation
18788127,11/11/19,08:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,25.0,New York Dept. of Environmental Conservation
18788128,11/11/19,08:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,21.3,New York Dept. of Environmental Conservation
18788129,11/11/19,08:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,1.0,New York Dept. of Environmental Conservation
18788147,11/11/19,08:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,13.9,New York Dept. of Environmental Conservation
18788148,11/11/19,08:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,14.7,New York Dept. of Environmental Conservation
18788152,11/11/19,08:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,14.2,New York Dept. of Environmental Conservation
18788153,11/11/19,08:00,360610134,Division Street,-5.0,PM2.5,UG/M3,13.6,New York Dept. of Environmental Conservation
18788154,11/11/19,08:00,360610135,CCNY,-5.0,OZONE,PPB,1.0,New York Dept. of Environmental Conservation
18788155,11/11/19,08:00,360610135,CCNY,-5.0,PM2.5,UG/M3,16.2,New York Dept. of Environmental Conservation
18788163,11/11/19,08:00,360810124,Queens,-5.0,OZONE,PPB,6.0,New York Dept. of Environmental Conservation
18788164,11/11/19,08:00,360810124,Queens,-5.0,PM2.5,UG/M3,11.4,New York Dept. of Environmental Conservation
18788165,11/11/19,08:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,15.3,New York Dept. of Environmental Conservation
18803023,11/02/19,16:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,23.0,New York Dept. of Environmental Conservation
18803024,11/02/19,16:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,11.0,New York Dept. of Environmental Conservation
18803025,11/02/19,16:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,1.0,New York Dept. of Environmental Conservation
18803026,11/02/19,16:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,26.0,New York Dept. of Environmental Conservation
18803047,11/02/19,16:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,0.8,New York Dept. of Environmental Conservation
18803048,11/02/19,16:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,0.7,New York Dept. of Environmental Conservation
18803052,11/02/19,16:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,0.9,New York Dept. of Environmental Conservation
18803053,11/02/19,16:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
18803054,11/02/19,16:00,360610135,CCNY,-5.0,OZONE,PPB,24.0,New York Dept. of Environmental Conservation
18803055,11/02/19,16:00,360610135,CCNY,-5.0,PM2.5,UG/M3,2.9,New York Dept. of Environmental Conservation
18803063,11/02/19,16:00,360810124,Queens,-5.0,OZONE,PPB,27.0,New York Dept. of Environmental Conservation
18803064,11/02/19,16:00,360810124,Queens,-5.0,PM2.5,UG/M3,3.4,New York Dept. of Environmental Conservation
18803065,11/02/19,16:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,1.2,New York Dept. of Environmental Conservation
18803066,11/02/19,16:00,360850111,Fresh Kills,-5.0,OZONE,PPB,28.0,New York Dept. of Environmental Conservation
18817810,11/24/19,01:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,7.0,New York Dept. of Environmental Conservation
18817811,11/24/19,01:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,15.0,New York Dept. of Environmental Conservation
18817812,11/24/19,01:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
18817813,11/24/19,01:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,11.0,New York Dept. of Environmental Conservation
18817834,11/24/19,01:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,2.1,New York Dept. of Environmental Conservation
18817835,11/24/19,01:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,3.3,New York Dept. of Environmental Conservation
18817839,11/24/19,01:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
18817840,11/24/19,01:00,360610134,Division Street,-5.0,PM2.5,UG/M3,6.6,New York Dept. of Environmental Conservation
18817841,11/24/19,01:00,360610135,CCNY,-5.0,OZONE,PPB,9.0,New York Dept. of Environmental Conservation
18817842,11/24/19,01:00,360610135,CCNY,-5.0,PM2.5,UG/M3,5.4,New York Dept. of Environmental Conservation
18817851,11/24/19,01:00,360810124,Queens,-5.0,OZONE,PPB,15.0,New York Dept. of Environmental Conservation
18817852,11/24/19,01:00,360810124,Queens,-5.0,PM2.5,UG/M3,2.4,New York Dept. of Environmental Conservation
18817853,11/24/19,01:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,4.7,New York Dept. of Environmental Conservation
18817854,11/24/19,01:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,4.6,New York Dept. of Environmental Conservation
18832730,10/26/19,12:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,10.0,New York Dept. of Environmental Conservation
