,date,time,aqsid,site,gmtoffset,parameter,units,value,source
2156921,12/03/19,20:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,7.5,New York Dept. of Environmental Conservation
2156922,12/03/19,20:00,360610134,Division Street,-5.0,PM2.5,UG/M3,7.8,New York Dept. of Environmental Conservation
2156923,12/03/19,20:00,360610135,CCNY,-5.0,OZONE,PPB,34.0,New York Dept. of Environmental Conservation
2156924,12/03/19,20:00,360610135,CCNY,-5.0,PM2.5,UG/M3,6.0,New York Dept. of Environmental Conservation
2156932,12/03/19,20:00,360810124,Queens,-5.0,OZONE,PPB,34.0,New York Dept. of Environmental Conservation
2156933,12/03/19,20:00,360810124,Queens,-5.0,PM2.5,UG/M3,2.6,New York Dept. of Environmental Conservation
2156934,12/03/19,20:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,7.3,New York Dept. of Environmental Conservation
2156935,12/03/19,20:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,5.3,New York Dept. of Environmental Conservation
2171716,10/28/19,17:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,26.0,New York Dept. of Environmental Conservation
2171717,10/28/19,17:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,5.0,New York Dept. of Environmental Conservation
2171718,10/28/19,17:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,6.1,New York Dept. of Environmental Conservation
2171719,10/28/19,17:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,29.0,New York Dept. of Environmental Conservation
2171741,10/28/19,17:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,0.3,New York Dept. of Environmental Conservation
2171742,10/28/19,17:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,1.4,New York Dept. of Environmental Conservation
2171745,10/28/19,17:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,0.6,New York Dept. of Environmental Conservation
2171746,10/28/19,17:00,360610134,Division Street,-5.0,PM2.5,UG/M3,2.2,New York Dept. of Environmental Conservation
2171747,10/28/19,17:00,360610135,CCNY,-5.0,OZONE,PPB,25.0,New York Dept. of Environmental Conservation
2171748,10/28/19,17:00,360610135,CCNY,-5.0,PM2.5,UG/M3,1.1,New York Dept. of Environmental Conservation
2171757,10/28/19,17:00,360810124,Queens,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
2171758,10/28/19,17:00,360810124,Queens,-5.0,PM2.5,UG/M3,0.1,New York Dept. of Environmental Conservation
2171759,10/28/19,17:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,3.5,New York Dept. of Environmental Conservation
2171760,10/28/19,17:00,360850111,Fresh Kills,-5.0,OZONE,PPB,14.0,New York Dept. of Environmental Conservation
2171761,10/28/19,17:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,3.9,New York Dept. of Environmental Conservation
2186733,12/03/19,08:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,31.0,New York Dept. of Environmental Conservation
2186734,12/03/19,08:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,4.0,New York Dept. of Environmental Conservation
2186735,12/03/19,08:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,2.1,New York Dept. of Environmental Conservation
